OBJECTID,LAT_DEG,LAT_MIN,LAT_SEC,LAT_HEMIS,LAT_DECIMAL,LONG_DEG,LONG_MIN,LONG_SEC,LONG_HEMIS,LONG_DECIMAL,ICAO_ID
1,31,36,6.193,N,31.60172027,85,14,18.761,W,-85.23854472,
2,34,13,1.71,N,34.21714166,87,9,29.37,W,-87.15815833,
3,32,50,51,N,32.8475,87,42,50,W,-87.71388888,
4,33,10,40,N,33.17777777,86,46,59.6,W,-86.78322222,KEET
5,33,15,8,N,33.25222222,86,48,44,W,-86.81222222,
6,34,13,44.8,N,34.22911111,86,15,20.7,W,-86.25575,KBFZ
7,32,54,53.1,N,32.91475,85,57,46.6,W,-85.96294444,KALX
8,32,55,48.28,N,32.93007777,85,58,15.27,W,-85.97090833,
9,33,6,24.28,N,33.10674444,88,11,49.83,W,-88.197175,KAIV
10,31,18,30.1,N,31.30836111,86,23,32,W,-86.39222222,
11,33,35,17.4,N,33.58816666,85,51,29.2,W,-85.85811111,KANB
12,33,39,21.62,N,33.65600555,85,49,28,W,-85.82444444,
13,33,37,35,N,33.62638888,85,58,2,W,-85.96722222,
14,34,58,44.6693,N,34.9790748,86,52,59.8254,W,-86.88328483,
15,37,15,31.49,N,37.25874722,82,27,41.32,W,-82.46147777,
16,33,17,3.11,N,33.28419722,85,48,32.275,W,-85.80896527,
17,33,16,37.98,N,33.27721666,85,49,29.35,W,-85.82481944,
18,33,50,19.355,N,33.83870972,86,12,40.915,W,-86.21136527,
19,34,48,10.14,N,34.80281666,86,58,50.18,W,-86.98060555,
20,34,46,22,N,34.77277777,87,10,28.5,W,-87.17458333,
21,31,0,58.1,N,31.01613888,87,26,48.3,W,-87.44675,
22,32,36,54.4,N,32.61511111,85,26,2.4,W,-85.434,KAUO
23,30,52,13.2,N,30.87033333,87,49,9.6,W,-87.81933333,
24,30,56,55,N,30.94861111,87,44,44,W,-87.74555555,
25,30,49,39.6643,N,30.82768452,87,53,21.0387,W,-87.88917741,
26,30,27,18.9,N,30.45525,88,12,40.3,W,-88.21119444,
27,30,25,52,N,30.43111111,88,10,45,W,-88.17916666,
28,33,18,45.4,N,33.31261111,86,55,34.7,W,-86.92630555,KEKY
29,33,22,17.61,N,33.37155833,86,59,27.62,W,-86.99100555,
30,33,19,51.009,N,33.33083583,86,59,1.8454,W,-86.98384594,
31,33,33,50,N,33.56388888,86,45,8.3,W,-86.75230555,KBHM
32,33,29,51.381,N,33.49760583,86,50,46.966,W,-86.84637944,
33,33,32,8.82,N,33.53578333,86,48,41.06,W,-86.81140555,
34,33,30,15.379,N,33.50427194,86,48,18.963,W,-86.8052675,
35,33,30,21.1,N,33.50586111,86,48,10,W,-86.80277777,
36,33,27,50.66,N,33.46407222,86,46,22.33,W,-86.77286944,
37,33,25,58.35,N,33.432875,86,42,57.94,W,-86.71609444,
38,33,31,10.379,N,33.51954972,86,48,48.964,W,-86.81360111,
39,33,35,49.1,N,33.59697222,86,40,4.11,W,-86.66780833,
40,33,32,35.383,N,33.54316194,86,59,8.98,W,-86.98582777,
41,34,7,45.35,N,34.12926388,86,37,59.976,W,-86.63332666,
42,34,13,13.52,N,34.22042222,86,9,39.31,W,-86.16091944,
43,34,8,30.36,N,34.14176666,86,5,18.84,W,-86.08856666,
44,33,39,24.4,N,33.65677777,86,24,44.9,W,-86.41247222,
45,33,59,27,N,33.99083333,87,4,40,W,-87.07777777,
46,31,3,2.561,N,31.05071138,87,4,2.16,W,-87.06726666,
47,31,7,32.41,N,31.12566944,87,4,24.49,W,-87.07346944,
48,32,5,36.01,N,32.09333611,88,12,37.3,W,-88.21036111,
49,32,7,9.5,N,32.11930555,88,7,38.9,W,-88.12747222,
50,31,58,47.1,N,31.97975,87,20,20.8,W,-87.33911111,
51,33,16,27.15,N,33.27420833,88,5,21.6,W,-88.08933333,
52,34,19,21.32,N,34.32258888,85,38,37.37,W,-85.64371388,
53,32,57,6.47,N,32.95179722,87,8,53.47,W,-87.14818611,
54,34,6,20.35,N,34.10565277,85,33,56.858,W,-85.56579388,
55,34,5,23.7,N,34.08991666,85,36,36.3,W,-85.61008333,KPYP
56,32,56,12.98,N,32.93693888,87,5,25.97,W,-87.09054722,
57,31,40,50.566,N,31.68071277,86,40,54.901,W,-86.68191694,
58,31,27,6.0008,N,31.45166688,88,11,39.9359,W,-88.19442663,
59,31,23,18.9,N,31.38858333,88,5,33.3,W,-88.09258333,
60,31,27,32.6,N,31.45905555,88,14,4.1,W,-88.23447222,
61,34,44,39.0352,N,34.74417644,87,53,11.6736,W,-87.886576,
62,31,5,22.55,N,31.08959722,88,14,42.26,W,-88.24507222,
63,32,51,1.7441,N,32.85048447,86,36,41.1569,W,-86.61143247,
64,32,56,45.442,N,32.94595611,86,30,49.926,W,-86.51386833,
65,32,48,1.8,N,32.8005,86,26,47.4,W,-86.4465,
66,32,52,50.54,N,32.88070555,86,37,15.86,W,-86.62107222,
67,31,52,59.968,N,31.88332444,85,29,6.809,W,-85.48522472,
68,31,14,9.9852,N,31.236107,85,8,30.1395,W,-85.14170541,
69,33,14,49.75,N,33.24715277,86,35,52.5,W,-86.59791666,
70,33,11,11.83,N,33.18661944,86,37,36.48,W,-86.6268,
71,32,10,20.548,N,32.17237444,85,1,43.749,W,-85.02881916,
72,34,39,29.37,N,34.65815833,87,20,54.809,W,-87.34855805,
73,32,24,58,N,32.41611111,85,17,57,W,-85.29916666,
74,30,54,32.9,N,30.90913888,87,59,46.8,W,-87.99633333,
75,34,16,7.329,N,34.2687025,86,51,28.927,W,-86.85803527,KCMD
76,34,12,7.14,N,34.20198333,86,48,23.4,W,-86.8065,
77,32,49,6.57,N,32.81849166,85,44,29.44,W,-85.74151111,
78,34,22,22.8,N,34.373,87,4,49.8,W,-87.0805,
79,30,15,37.734,N,30.26048166,88,7,38.903,W,-88.12747305,
80,30,39,16.69,N,30.65463611,87,51,15.31,W,-87.85425277,
81,30,35,30.5,N,30.59180555,87,49,21.3,W,-87.82258333,
82,30,35,41.82,N,30.59495,87,49,15.305,W,-87.82091805,
83,34,39,14.6,N,34.65405555,86,56,43.3,W,-86.94536111,KDCU
84,34,35,31.55,N,34.59209722,86,58,19.65,W,-86.972125,
85,32,27,49.8,N,32.46383333,87,57,14.6,W,-87.95405555,KDYA
86,32,30,20,N,32.50555555,87,50,11,W,-87.83638888,
87,31,13,5.17,N,31.21810277,85,22,2.84,W,-85.36745555,
88,31,14,14.52,N,31.23736666,85,27,17.22,W,-85.45478333,
89,31,19,15.7,N,31.32102777,85,26,58.1,W,-85.44947222,KDHN
90,30,18,55.62,N,30.31545,87,34,20.56,W,-87.57237777,
91,31,24,36.15,N,31.41004166,86,5,25.21,W,-86.09033611,
92,30,28,9.22,N,30.46922777,87,32,38.08,W,-87.54391111,
93,30,25,30.03,N,30.42500833,87,32,12.14,W,-87.53670555,
94,30,26,30.71,N,30.44186388,87,27,49.926,W,-87.46386833,
95,31,17,59,N,31.29972222,85,53,59.4,W,-85.89983333,KEDN
96,31,57,4.7,N,31.95130555,85,7,44.1,W,-85.12891666,KEUF
97,31,53,22.03,N,31.88945277,85,9,22.38,W,-85.15621666,
98,32,49,13.5,N,32.82041666,87,51,54.3,W,-87.86508333,
99,32,50,32.68,N,32.84241111,87,53,25.89,W,-87.890525,
100,31,24,54,N,31.415,87,2,36.1,W,-87.04336111,KGZH
101,31,25,48.36,N,31.4301,86,56,24.78,W,-86.94021666,
102,30,27,37.8,N,30.4605,87,52,37.3,W,-87.87702777,KCQF
103,33,42,32.781,N,33.70910583,87,48,54.751,W,-87.81520861,
104,33,42,33,N,33.70916666,87,49,25,W,-87.82361111,
105,34,44,41,N,34.74472222,85,41,23.4,W,-85.68983333,
106,34,46,8.11,N,34.76891944,85,41,46.34,W,-85.69620555,
107,34,48,10.5,N,34.80291666,85,38,58.9,W,-85.64969444,
108,31,1,56,N,31.03222222,87,15,10,W,-87.25277777,
109,31,0,3.28,N,31.00091111,86,18,49.16,W,-86.31365555,
110,31,2,32.905,N,31.04247361,86,18,41.62,W,-86.31156111,
111,34,54,9.306,N,34.902585,87,35,14.092,W,-87.58724777,
112,34,51,0,N,34.85,87,37,57,W,-87.6325,
113,34,48,18.45,N,34.805125,87,39,10.15,W,-87.65281944,
114,30,26,38,N,30.44388888,87,39,25,W,-87.65694444,
115,30,22,17.27,N,30.37146388,87,45,52,W,-87.76444444,
116,30,25,36.01,N,30.42666944,87,41,6.41,W,-87.68511388,
117,30,25,39.6,N,30.42766666,87,42,3.5,W,-87.70097222,
118,30,23,25.1299,N,30.39031386,87,37,53.6163,W,-87.63156008,KNBJ
119,30,22,23,N,30.37305555,87,39,48,W,-87.66333333,
120,32,36,4.73,N,32.60131388,87,47,0.62,W,-87.78350555,
121,31,58,20.535,N,31.97237083,86,35,29.909,W,-86.59164138,
122,34,23,34,N,34.39277777,85,39,54,W,-85.665,
123,34,28,25.3,N,34.47369444,85,43,17,W,-85.72138888,
124,34,26,31.4973,N,34.44208258,85,45,20.8494,W,-85.7557915,
125,31,16,32.797,N,31.27577694,85,42,48.064,W,-85.71335111,KOZR
126,31,21,20.643,N,31.35573416,85,39,6.707,W,-85.65186305,KHEY
127,31,21,21,N,31.35583333,85,45,4.2,W,-85.75116666,KLOR
128,31,19,0.618,N,31.31683833,85,39,59.767,W,-85.66660194,KFHK
129,31,21,45.61,N,31.36266944,85,50,57.78,W,-85.84938333,KSXS
130,31,13,32.55,N,31.22570833,85,33,41.74,W,-85.56159444,
131,31,16,11.55,N,31.269875,86,2,27.38,W,-86.04093888,
132,31,13,52.23,N,31.231175,85,38,58.93,W,-85.64970277,
133,31,23,18.38,N,31.38843888,85,58,20.73,W,-85.972425,
134,31,23,37.3,N,31.39369444,85,45,5.4,W,-85.7515,
135,31,24,50.32,N,31.41397777,85,27,35.46,W,-85.45985,
136,31,21,32.3,N,31.35897222,85,37,13.96,W,-85.62054444,
137,31,9,12.74,N,31.15353888,85,44,1.25,W,-85.73368055,
138,31,5,37,N,31.09361111,85,47,16.6,W,-85.78794444,
139,31,24,30.28,N,31.40841111,85,41,21.28,W,-85.68924444,
140,31,22,48.67,N,31.38018611,85,34,48.99,W,-85.580275,
141,31,28,56.75,N,31.48243055,85,47,6.23,W,-85.78506388,
142,31,20,19.73,N,31.33881388,86,5,30.29,W,-86.09174722,
143,31,17,15.55,N,31.28765277,86,7,48.22,W,-86.13006111,
144,31,21,38.86,N,31.36079444,86,0,49.43,W,-86.01373055,
